longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-124.1,41.04,26,1633,380.0,890,370,1.9741,97900,NEAR OCEAN
-124.16,41.02,23,1672,385.0,1060,390,2.1726,75500,NEAR OCEAN
-124.08,40.99,18,3297,662.0,1554,578,2.6847,111300,NEAR OCEAN
-124.16,40.95,20,1075,214.0,529,196,3.1406,96000,NEAR OCEAN
-124.11,40.95,19,1734,365.0,866,342,2.96,81700,NEAR OCEAN
-124.09,40.95,18,2250,484.0,1248,472,2.5893,99600,NEAR OCEAN
-124.11,40.93,25,2392,474.0,1298,461,3.5076,73600,NEAR OCEAN
-124.11,40.93,17,1661,329.0,948,357,2.7639,90200,NEAR OCEAN
-124.08,40.94,18,1550,345.0,941,335,2.3147,70100,NEAR OCEAN
-124.09,40.92,12,2497,491.0,1153,462,2.8182,126900,NEAR OCEAN
-124.05,40.94,14,1452,217.0,516,181,5.0329,165600,NEAR OCEAN
-124.1,40.95,17,1485,345.0,823,316,1.8993,78400,NEAR OCEAN
-124.07,40.81,23,2103,411.0,1019,387,2.9911,119700,NEAR OCEAN
-124.1,40.73,33,644,129.0,334,121,3.9659,111800,NEAR OCEAN
-124.17,40.74,17,2026,338.0,873,313,4.0357,128900,NEAR OCEAN
-124.14,40.72,18,2581,499.0,1375,503,2.8446,100500,NEAR OCEAN
-124.14,40.67,23,580,117.0,320,109,4.2054,130600,NEAR OCEAN
-124.19,40.73,21,5694,1056.0,2907,972,3.5363,90100,NEAR OCEAN
-124.21,40.75,32,1218,331.0,620,268,1.6528,58100,NEAR OCEAN
-124.27,40.69,36,2349,528.0,1194,465,2.5179,79000,NEAR OCEAN
-124.18,40.62,35,952,178.0,480,179,3.0536,107000,NEAR OCEAN
-124.17,40.62,32,1595,309.0,706,277,2.8958,86400,NEAR OCEAN
-124.13,40.62,43,2131,399.0,910,389,2.5804,92100,NEAR OCEAN
-124.16,40.6,39,1322,283.0,642,292,2.4519,85100,NEAR OCEAN
-124.15,40.59,39,1186,238.0,539,212,2.0938,79600,NEAR OCEAN
-124.14,40.6,27,1148,206.0,521,219,4.025,128100,NEAR OCEAN
-124.14,40.59,22,1665,405.0,826,382,1.5625,66800,NEAR OCEAN
-124.14,40.59,17,2985,610.0,1544,584,2.178,76800,NEAR OCEAN
-124.26,40.58,52,2217,394.0,907,369,2.3571,111400,NEAR OCEAN
-124.23,40.54,52,2694,453.0,1152,435,3.0806,106700,NEAR OCEAN
-124.35,40.54,52,1820,300.0,806,270,3.0147,94600,NEAR OCEAN
-124.25,40.28,32,1430,419.0,434,187,1.9417,76100,NEAR OCEAN
-124.08,40.06,17,1319,267.0,393,163,2.625,135600,NEAR OCEAN
-118.55,33.99,39,2603,456.0,928,410,7.9096,500001,NEAR OCEAN
-118.25,33.79,32,1205,340.0,1799,370,2.375,128000,NEAR OCEAN
-118.24,33.8,28,636,169.0,788,143,3.6161,131300,NEAR OCEAN
-118.23,33.8,26,239,135.0,165,112,1.3333,187500,NEAR OCEAN
-118.26,33.78,27,1672,491.0,1723,462,2.0458,174500,NEAR OCEAN
-118.25,33.79,34,1349,371.0,1716,380,2.7143,138100,NEAR OCEAN
-118.25,33.79,38,1730,460.0,1724,424,2.7308,150400,NEAR OCEAN
-118.25,33.79,39,981,286.0,1183,298,1.9208,139800,NEAR OCEAN
-118.26,33.78,21,2188,706.0,2265,652,1.9923,164700,NEAR OCEAN
-118.23,33.78,20,59,24.0,69,23,2.5588,350000,NEAR OCEAN
-118.26,33.78,35,1239,473.0,1524,387,2.0956,154700,NEAR OCEAN
-118.25,33.78,32,296,139.0,511,133,1.4444,182100,NEAR OCEAN
-118.24,33.78,24,574,173.0,784,162,2.25,152300,NEAR OCEAN
-118.26,33.78,36,2191,739.0,2931,692,2.1311,163100,NEAR OCEAN
-118.26,33.77,36,886,253.0,809,219,2.4545,164200,NEAR OCEAN
-118.27,33.77,26,2272,694.0,2567,595,1.9964,150600,NEAR OCEAN
-118.27,33.77,39,1731,485.0,2115,478,1.5369,141300,NEAR OCEAN
-118.27,33.76,46,22,11.0,32,7,3.125,112500,NEAR OCEAN
-118.28,33.75,41,1305,381.0,1384,369,2.45,186800,NEAR OCEAN
-118.28,33.75,18,393,189.0,429,188,1.8393,187500,NEAR OCEAN
-118.28,33.74,40,1751,512.0,1939,503,1.5394,200000,NEAR OCEAN
-118.28,33.75,21,2442,719.0,1916,646,1.2276,208300,NEAR OCEAN
-118.28,33.74,16,855,271.0,486,250,0.7591,350000,NEAR OCEAN
-118.3,33.74,47,2223,410.0,1163,413,4.4671,270800,NEAR OCEAN
-118.31,33.74,36,2464,472.0,1111,457,4.5074,350000,NEAR OCEAN
-118.31,33.74,22,5042,974.0,2260,935,4.3472,351200,NEAR OCEAN
-118.29,33.75,27,1650,443.0,1359,386,2.5795,192400,NEAR OCEAN
-118.29,33.75,37,1319,292.0,766,285,2.7031,218900,NEAR OCEAN
-118.29,33.74,29,1503,411.0,1368,390,2.1473,195300,NEAR OCEAN
-118.29,33.74,52,1438,472.0,1018,399,2.2188,306700,NEAR OCEAN
-118.29,33.74,41,1382,361.0,905,344,2.75,238300,NEAR OCEAN
-118.29,33.74,30,2074,533.0,1311,531,2.0329,225800,NEAR OCEAN
-118.29,33.73,43,1854,519.0,1151,486,2.5759,225000,NEAR OCEAN
-118.29,33.73,21,2492,711.0,1699,672,2.1382,242300,NEAR OCEAN
-118.29,33.73,30,2835,711.0,1669,652,3.3616,268500,NEAR OCEAN
-118.3,33.73,42,1731,,866,403,2.7451,255400,NEAR OCEAN
-118.3,33.74,23,3075,860.0,1584,806,2.9386,260500,NEAR OCEAN
-118.31,33.73,36,1725,295.0,799,306,5.0874,368500,NEAR OCEAN
-118.31,33.73,52,1665,280.0,656,282,5.249,351900,NEAR OCEAN
-118.3,33.74,20,2625,673.0,1184,606,3.9167,285200,NEAR OCEAN
-118.3,33.73,47,2852,603.0,1130,560,4.194,293900,NEAR OCEAN
-118.31,33.73,52,2025,361.0,957,363,4.2059,350000,NEAR OCEAN
-118.28,33.74,44,1853,556.0,2090,539,1.8584,248100,NEAR OCEAN
-118.28,33.73,39,2602,802.0,2178,737,2.0469,234500,NEAR OCEAN
-118.28,33.73,52,2085,588.0,1767,516,2.1935,243200,NEAR OCEAN
-118.28,33.73,45,2137,559.0,1550,529,1.9167,227200,NEAR OCEAN
-118.29,33.73,30,3161,,1865,771,2.7139,231700,NEAR OCEAN
-118.29,33.72,25,2469,584.0,1253,535,3.1932,257500,NEAR OCEAN
-118.3,33.72,28,2647,658.0,1459,595,3.4474,253400,NEAR OCEAN
-118.3,33.72,28,2510,583.0,1388,554,3.3397,267800,NEAR OCEAN
-118.3,33.73,40,2582,606.0,1304,588,3.5694,276400,NEAR OCEAN
-118.31,33.73,52,1642,287.0,692,288,4.1812,321500,NEAR OCEAN
-118.31,33.72,26,2711,508.0,1372,459,4.1451,326700,NEAR OCEAN
-118.33,33.69,41,2168,357.0,1171,374,4.7216,311900,NEAR OCEAN
-118.31,33.73,33,2265,366.0,986,388,5.4533,409800,NEAR OCEAN
-118.32,33.73,25,1099,168.0,407,159,7.6886,500001,NEAR OCEAN
-118.33,33.72,25,6191,1081.0,2297,1023,6.4246,446700,NEAR OCEAN
-118.29,33.71,36,3135,746.0,1815,697,3.7596,300000,NEAR OCEAN
-118.31,33.67,42,1297,246.0,611,242,5.3074,401900,NEAR OCEAN
-118.3,33.72,35,2790,,1167,441,6.2028,361500,NEAR OCEAN
-118.29,33.71,40,1644,471.0,780,416,3.1071,464300,NEAR OCEAN
-118.29,33.71,40,1933,475.0,902,412,4.25,332800,NEAR OCEAN
-118.29,33.71,31,2809,666.0,1316,633,4.5606,303800,NEAR OCEAN
-118.29,33.72,39,2651,590.0,1103,508,3.274,254300,NEAR OCEAN
-118.29,33.72,21,1568,452.0,801,422,3.5109,225000,NEAR OCEAN
-118.28,33.68,8,2842,522.0,1624,510,3.7282,287500,NEAR OCEAN
-118.21,33.83,38,793,193.0,601,187,2.8837,176100,NEAR OCEAN
-118.17,33.83,45,2019,363.0,880,339,4.1023,217300,NEAR OCEAN
-118.18,33.84,35,1415,294.0,591,291,2.9798,315600,NEAR OCEAN
-118.19,33.84,44,2731,577.0,1396,555,4.1771,219100,NEAR OCEAN
-118.19,33.84,24,1228,320.0,537,273,2.25,192000,NEAR OCEAN
-118.19,33.85,30,3533,1061.0,2678,1033,2.2417,151900,NEAR OCEAN
-118.19,33.85,49,1073,260.0,725,272,3.8026,149700,NEAR OCEAN
-118.19,33.85,45,1167,302.0,773,287,3.2798,150300,NEAR OCEAN
-118.2,33.84,35,3405,779.0,1953,671,2.7813,159200,NEAR OCEAN
-118.2,33.83,35,3737,613.0,1305,583,7.2096,490300,NEAR OCEAN
-118.19,33.83,43,2641,411.0,1011,444,6.4468,444200,NEAR OCEAN
-118.19,33.83,42,1773,360.0,815,299,4.9,406300,NEAR OCEAN
-118.17,33.83,45,1808,315.0,800,302,4.8693,277700,NEAR OCEAN
-118.17,33.83,46,1362,214.0,531,222,4.3125,290500,NEAR OCEAN
-118.18,33.83,44,1497,277.0,542,274,5.0052,321800,NEAR OCEAN
-118.18,33.83,45,1535,274.0,591,276,4.2411,371700,NEAR OCEAN
-118.18,33.83,39,3622,745.0,1330,648,3.3125,425500,NEAR OCEAN
-118.18,33.84,43,2561,544.0,1063,537,3.835,418600,NEAR OCEAN
-118.17,33.82,50,3587,693.0,1513,651,5.5106,252200,NEAR OCEAN
-118.17,33.82,52,2539,497.0,1152,488,4.1354,268200,NEAR OCEAN
-118.18,33.83,52,2569,484.0,1030,451,4.1301,268400,NEAR OCEAN
-118.18,33.82,52,2618,472.0,943,440,3.7895,254000,NEAR OCEAN
-118.18,33.82,43,284,65.0,167,68,4.25,207500,NEAR OCEAN
-118.19,33.83,30,2246,552.0,1032,548,3.5871,347100,NEAR OCEAN
-118.19,33.82,19,2953,895.0,1914,855,3.5521,290000,NEAR OCEAN
-118.2,33.82,21,2251,452.0,913,420,4.6042,272200,NEAR OCEAN
-118.2,33.82,43,1758,347.0,954,312,5.2606,198900,NEAR OCEAN
-118.19,33.82,11,872,203.0,422,221,4.6364,156300,NEAR OCEAN
-118.19,33.81,21,1835,427.0,1038,384,4.4559,198500,NEAR OCEAN
-118.2,33.81,43,3013,574.0,1525,529,4.95,194000,NEAR OCEAN
-118.2,33.82,34,2807,768.0,2217,744,2.4286,204800,NEAR OCEAN
-118.19,33.81,23,954,390.0,804,373,2.5833,181300,NEAR OCEAN
-118.2,33.81,45,944,178.0,533,193,3.4808,206900,NEAR OCEAN
-118.2,33.81,46,1388,254.0,742,241,4.6458,212100,NEAR OCEAN
-118.2,33.81,47,2347,437.0,1219,420,5.3096,209900,NEAR OCEAN
-118.21,33.82,34,1719,398.0,1444,372,2.8438,139300,NEAR OCEAN
-118.21,33.81,43,905,199.0,764,204,3.3214,162200,NEAR OCEAN
-118.21,33.81,40,1815,428.0,1807,413,3.0882,160700,NEAR OCEAN
-118.21,33.82,33,1278,311.0,1157,320,3.5054,146800,NEAR OCEAN
-118.22,33.82,30,1680,469.0,1779,429,3.6086,146300,NEAR OCEAN
-118.21,33.82,45,455,92.0,394,89,4.9562,165700,NEAR OCEAN
-118.21,33.82,43,1005,199.0,723,191,4.3424,162500,NEAR OCEAN
-118.22,33.82,17,5357,1332.0,3030,1266,1.9311,138100,NEAR OCEAN
-118.21,33.81,45,1693,337.0,1255,333,3.6923,159700,NEAR OCEAN
-118.21,33.81,45,1816,398.0,1524,388,3.8586,157900,NEAR OCEAN
-118.22,33.81,38,1486,359.0,1345,326,3.3988,147800,NEAR OCEAN
-118.22,33.81,41,726,166.0,602,183,3.7885,156900,NEAR OCEAN
-118.21,33.8,45,1160,274.0,1095,269,2.7308,139000,NEAR OCEAN
-118.21,33.8,41,1251,279.0,1053,278,3.2778,150800,NEAR OCEAN
-118.22,33.8,36,1285,347.0,1291,337,3.7708,157100,NEAR OCEAN
-118.22,33.8,33,1984,477.0,1764,440,3.875,165100,NEAR OCEAN
-118.22,33.79,28,3008,629.0,2537,596,2.3,137500,NEAR OCEAN
-118.21,33.79,39,1598,458.0,1691,399,2.3605,141800,NEAR OCEAN
-118.21,33.79,32,2020,613.0,2557,562,2.1397,145300,NEAR OCEAN
-118.21,33.8,44,1387,280.0,984,302,4.25,143100,NEAR OCEAN
-118.19,33.8,38,2010,595.0,1535,525,1.9848,160400,NEAR OCEAN
-118.19,33.79,29,3497,1096.0,2994,919,1.8109,137500,NEAR OCEAN
-118.2,33.79,47,767,195.0,569,195,2.9514,185200,NEAR OCEAN
-118.2,33.79,48,2105,592.0,1807,539,2.7183,190400,NEAR OCEAN
-118.2,33.79,47,2549,626.0,1388,606,3.0135,192700,NEAR OCEAN
-118.2,33.8,52,1786,445.0,1090,430,2.8988,194900,NEAR OCEAN
-118.19,33.8,41,2125,591.0,1604,555,2.9943,190600,NEAR OCEAN
-118.2,33.8,42,4577,1146.0,2749,1094,2.5012,197500,NEAR OCEAN
-118.2,33.8,45,2456,495.0,1300,450,3.9792,210200,NEAR OCEAN
-118.2,33.8,52,1009,216.0,614,231,4.0074,200800,NEAR OCEAN
-118.18,33.8,42,2301,621.0,2114,561,2.0579,132700,NEAR OCEAN
-118.19,33.8,36,2326,729.0,2635,657,2.1985,141800,NEAR OCEAN
-118.18,33.79,42,1571,435.0,1631,417,1.6384,128000,NEAR OCEAN
-118.19,33.79,41,2114,612.0,2357,529,1.7938,142600,NEAR OCEAN
-118.19,33.79,43,1823,600.0,2339,560,1.6792,130600,NEAR OCEAN
-118.18,33.8,30,2734,758.0,2951,691,1.7689,117600,NEAR OCEAN
-118.17,33.79,36,948,303.0,1042,301,1.55,100000,NEAR OCEAN
-118.18,33.82,43,2210,469.0,1042,418,3.5,216700,NEAR OCEAN
-118.18,33.81,27,471,132.0,315,96,1.75,154200,NEAR OCEAN
-118.16,33.8,9,3564,835.0,1530,807,5.1806,175000,NEAR OCEAN
-118.16,33.79,25,5463,1265.0,3010,1179,3.233,199100,NEAR OCEAN
-118.17,33.8,26,1589,380.0,883,366,3.5313,187500,NEAR OCEAN
-118.18,33.8,15,2407,589.0,1591,506,3.0513,148100,NEAR OCEAN
-118.15,33.8,44,1886,399.0,1167,372,3.1042,219800,NEAR OCEAN
-118.13,33.79,29,2937,524.0,1132,528,4.6133,500001,NEAR OCEAN
-118.13,33.78,31,3039,739.0,1199,697,3.7232,500001,NEAR OCEAN
-118.13,33.79,36,1245,211.0,508,221,5.3441,480600,NEAR OCEAN
-118.13,33.79,44,2153,375.0,947,364,5.0072,236200,NEAR OCEAN
-118.13,33.79,45,2317,448.0,1057,428,4.375,234800,NEAR OCEAN
-118.14,33.79,45,1519,263.0,681,267,4.6452,212500,NEAR OCEAN
-118.13,33.79,20,6678,1797.0,3625,1599,3.7716,242900,NEAR OCEAN
-118.14,33.8,43,2506,531.0,1230,543,3.4211,203900,NEAR OCEAN
-118.15,33.79,5,3700,993.0,1657,848,3.7826,196300,NEAR OCEAN
-118.14,33.79,23,2573,688.0,1478,604,3.4833,209400,NEAR OCEAN
-118.14,33.79,44,2388,619.0,1461,592,3.1711,215400,NEAR OCEAN
-118.14,33.78,44,2101,496.0,1038,500,3.108,217900,NEAR OCEAN
-118.15,33.79,25,4013,1097.0,2297,969,3.0453,185900,NEAR OCEAN
-118.15,33.78,17,1584,435.0,904,406,2.0875,181300,NEAR OCEAN
-118.16,33.78,14,1709,558.0,1939,520,1.9808,139100,NEAR OCEAN
-118.16,33.78,33,2048,585.0,2074,597,2.0156,152700,NEAR OCEAN
-118.16,33.79,25,3742,1180.0,3916,1063,2.4,153700,NEAR OCEAN
-118.16,33.79,26,3061,844.0,2135,769,2.875,164000,NEAR OCEAN
-118.17,33.79,32,2171,672.0,3002,648,2.375,139700,NEAR OCEAN
-118.17,33.79,30,1349,519.0,2646,552,1.9318,115900,NEAR OCEAN
-118.18,33.78,36,1697,550.0,1379,434,1.2746,129700,NEAR OCEAN
-118.18,33.79,27,1580,510.0,1896,448,2.0186,130000,NEAR OCEAN
-118.17,33.79,28,1219,408.0,1816,348,1.7589,118300,NEAR OCEAN
-118.18,33.79,20,1255,360.0,1201,318,1.2206,162500,NEAR OCEAN
-118.19,33.78,29,1170,369.0,1398,373,2.2543,156300,NEAR OCEAN
-118.19,33.79,37,1834,551.0,1967,476,2.137,126600,NEAR OCEAN
-118.19,33.79,30,3107,994.0,3543,850,1.9387,141700,NEAR OCEAN
-118.19,33.78,24,225,72.0,439,71,2.8533,137500,NEAR OCEAN
-118.2,33.79,25,2851,968.0,3744,906,2.0675,116700,NEAR OCEAN
-118.21,33.79,33,32,18.0,96,36,4.5938,112500,NEAR OCEAN
-118.21,33.79,44,121,29.0,153,30,2.1964,150000,NEAR OCEAN
-118.22,33.79,48,143,41.0,222,50,1.7,104200,NEAR OCEAN
-118.23,33.76,21,49,14.0,29,16,5.0,87500,NEAR OCEAN
-118.19,33.78,21,2741,1029.0,2924,969,1.3274,218800,NEAR OCEAN
-118.19,33.78,35,1511,593.0,914,539,0.9318,187500,NEAR OCEAN
-118.2,33.78,46,1889,651.0,1545,587,1.7064,175000,NEAR OCEAN
-118.2,33.78,48,1766,497.0,1908,466,1.9872,168800,NEAR OCEAN
-118.2,33.78,52,2662,893.0,3018,763,2.3305,162500,NEAR OCEAN
-118.19,33.77,35,1574,603.0,820,514,1.2321,137500,NEAR OCEAN
-118.2,33.77,40,2034,899.0,1257,797,1.2864,131300,NEAR OCEAN
-118.2,33.77,24,2404,819.0,1566,753,1.5076,145800,NEAR OCEAN
-118.2,33.77,22,1118,437.0,1190,399,1.9797,143800,NEAR OCEAN
-118.2,33.77,52,1375,457.0,1089,317,2.2344,200000,NEAR OCEAN
-118.2,33.77,41,1158,396.0,1209,336,2.7813,129200,NEAR OCEAN
-118.2,33.77,42,517,233.0,995,212,2.225,106300,NEAR OCEAN
-118.18,33.77,45,1434,627.0,735,518,1.5,162500,NEAR OCEAN
-118.19,33.76,25,1442,392.0,632,385,4.6629,162500,NEAR OCEAN
-118.19,33.77,52,1562,616.0,692,512,1.4048,200000,NEAR OCEAN
-118.18,33.77,39,1645,547.0,1339,499,1.5536,155000,NEAR OCEAN
-118.18,33.77,36,1833,688.0,1128,620,1.1483,112500,NEAR OCEAN
-118.19,33.77,21,2103,727.0,1064,603,1.6178,137500,NEAR OCEAN
-118.19,33.77,31,1711,691.0,1092,568,1.0714,150000,NEAR OCEAN
-118.18,33.78,20,1852,556.0,1712,556,1.4565,152500,NEAR OCEAN
-118.18,33.78,17,1419,436.0,1300,360,2.0769,100000,NEAR OCEAN
-118.18,33.78,52,1180,381.0,1046,332,1.5603,162500,NEAR OCEAN
-118.19,33.78,31,1648,484.0,898,457,1.5844,162500,NEAR OCEAN
-118.19,33.78,8,992,393.0,694,331,2.5544,162500,NEAR OCEAN
-118.19,33.78,29,1013,392.0,1083,316,1.8438,162500,NEAR OCEAN
-118.19,33.78,42,1021,300.0,533,187,1.8036,175000,NEAR OCEAN
-118.17,33.78,29,2920,962.0,3580,772,1.7393,140200,NEAR OCEAN
-118.17,33.78,23,3768,1261.0,3940,1098,1.9647,186200,NEAR OCEAN
-118.18,33.78,26,3042,1253.0,4812,1141,1.7701,146200,NEAR OCEAN
-118.17,33.78,44,2364,746.0,3184,672,1.918,147500,NEAR OCEAN
-118.17,33.77,36,2933,881.0,2077,838,2.2538,181300,NEAR OCEAN
-118.17,33.77,45,2508,797.0,1340,720,2.6786,191100,NEAR OCEAN
-118.17,33.77,38,2239,721.0,984,684,2.346,165600,NEAR OCEAN
-118.17,33.77,39,2953,878.0,1379,785,2.1378,180400,NEAR OCEAN
-118.17,33.77,12,4409,1401.0,3068,1262,2.2808,154700,NEAR OCEAN
-118.18,33.77,29,1776,606.0,1391,488,1.1295,137500,NEAR OCEAN
-118.18,33.77,30,1418,439.0,720,417,2.6371,159400,NEAR OCEAN
-118.17,33.77,37,1127,327.0,492,331,2.675,241700,NEAR OCEAN
-118.18,33.74,30,5915,1750.0,2136,1503,4.0968,310000,NEAR OCEAN
-118.17,33.77,45,2151,643.0,1047,579,3.1149,218800,NEAR OCEAN
-118.17,33.77,45,2143,697.0,1004,594,3.0153,220000,NEAR OCEAN
-118.18,33.77,37,2653,754.0,1087,698,2.3523,325000,NEAR OCEAN
-118.18,33.77,41,2048,601.0,852,533,2.5726,193800,NEAR OCEAN
-118.18,33.77,49,2297,759.0,1105,629,1.8388,175000,NEAR OCEAN
-118.16,33.77,49,3382,787.0,1314,756,3.8125,382100,NEAR OCEAN
-118.17,33.74,36,2006,453.0,807,426,3.7838,500001,NEAR OCEAN
-118.16,33.77,30,4439,1105.0,1749,1011,3.8984,306300,NEAR OCEAN
-118.15,33.77,39,2428,634.0,1312,612,2.7212,266300,NEAR OCEAN
-118.16,33.77,30,2800,757.0,1292,742,2.7614,272200,NEAR OCEAN
-118.16,33.77,38,3235,769.0,1284,752,2.9384,304100,NEAR OCEAN
-118.16,33.77,29,3078,786.0,1460,736,2.875,232500,NEAR OCEAN
-118.17,33.77,25,4405,1262.0,2178,1090,3.0503,225000,NEAR OCEAN
-118.16,33.78,15,4798,1374.0,3087,1212,2.127,163300,NEAR OCEAN
-118.16,33.78,39,4075,1085.0,2470,1025,2.3317,222500,NEAR OCEAN
-118.16,33.78,52,3248,853.0,1819,815,3.1739,222900,NEAR OCEAN
-118.16,33.78,29,3684,1301.0,3891,1143,1.6955,179700,NEAR OCEAN
-118.15,33.78,13,3056,861.0,1600,824,3.3003,207800,NEAR OCEAN
-118.15,33.78,12,4436,1133.0,2176,1002,3.5812,198600,NEAR OCEAN
